date,actual,rw,ar,har,arfima,fnn,lstm,nar
2022-12-02,-4.416914,-4.292940,-4.277722,-4.306619,-4.241119,-4.156339,-4.159122,-4.255105
2022-12-05,-4.103941,-4.416914,-4.327915,-4.330382,-4.325213,-4.298584,-4.329550,-4.318225
2022-12-06,-4.332896,-4.103941,-4.192129,-4.165770,-4.195196,-4.225733,-4.241421,-4.186066
2022-12-07,-4.126814,-4.332896,-4.317555,-4.288595,-4.279723,-4.276568,-4.279808,-4.265834
2022-12-08,-4.225574,-4.126814,-4.251925,-4.219168,-4.194639,-4.186079,-4.209716,-4.211556
2022-12-09,-4.251798,-4.225574,-4.236637,-4.259051,-4.224098,-4.212712,-4.222766,-4.186271
2022-12-12,-4.317647,-4.251798,-4.286434,-4.261326,-4.240333,-4.223520,-4.245229,-4.247321
2022-12-13,-3.791991,-4.317647,-4.301448,-4.304792,-4.276579,-4.280306,-4.296351,-4.263763
2022-12-14,-3.516569,-3.791991,-4.062577,-4.037053,-4.029030,-4.070202,-4.051702,-4.036394
2022-12-15,-4.232216,-3.516569,-3.841339,-3.870282,-3.833545,-3.913974,-3.773041,-3.892930
2022-12-16,-3.953650,-4.232216,-4.134573,-4.186219,-4.119998,-4.050529,-3.996549,-4.086132
2022-12-19,-4.222369,-3.953650,-4.028405,-4.044343,-4.037144,-4.026844,-4.032422,-4.057302
2022-12-20,-4.037200,-4.222369,-4.119214,-4.156174,-4.155329,-4.156791,-4.160602,-4.102519
2022-12-21,-4.102197,-4.037200,-4.154023,-4.088934,-4.091708,-4.100193,-4.115734,-4.136449
2022-12-22,-4.154108,-4.102197,-4.132245,-4.155056,-4.113008,-4.117911,-4.121512,-4.081981
2022-12-23,-4.072396,-4.154108,-4.195879,-4.170188,-4.142137,-4.133993,-4.149244,-4.159476
2022-12-27,-4.407770,-4.072396,-4.141802,-4.137882,-4.110058,-4.116921,-4.128463,-4.100502
2022-12-28,-4.089726,-4.407770,-4.308882,-4.297912,-4.268139,-4.273659,-4.284783,-4.258223
2022-12-29,-4.390671,-4.089726,-4.208151,-4.154962,-4.151456,-4.184477,-4.209592,-4.179235
2022-12-30,-4.336508,-4.390671,-4.312831,-4.305377,-4.277426,-4.311452,-4.324074,-4.260686
2023-01-03,-3.806268,-4.336508,-4.364648,-4.295312,-4.280592,-4.317441,-4.353261,-4.329259
2023-01-04,-3.934900,-3.806268,-4.058278,-4.043229,-4.028770,-4.090661,-4.103944,-4.037990
2023-01-05,-4.182428,-3.934900,-4.074703,-4.066753,-4.031428,-4.015858,-4.010931,-4.044785
2023-01-06,-3.873386,-4.182428,-4.185100,-4.180128,-4.139906,-4.096383,-4.123142,-4.150116
2023-01-09,-4.451607,-3.873386,-4.002090,-4.008676,-4.010018,-4.025442,-4.048021,-4.000882
2023-01-10,-4.142225,-4.451607,-4.276254,-4.271998,-4.263484,-4.267292,-4.276650,-4.220940
2023-01-11,-4.426318,-4.142225,-4.232614,-4.157550,-4.169300,-4.197765,-4.254403,-4.218060
2023-01-12,-3.883984,-4.426318,-4.314257,-4.315752,-4.296808,-4.353329,-4.360202,-4.275938
2023-01-13,-4.698504,-3.883984,-4.149601,-4.055276,-4.063202,-4.109544,-4.142646,-4.137060
2023-01-17,-4.191503,-4.698504,-4.445903,-4.468950,-4.411081,-4.444543,-4.423301,-4.384150
2023-01-18,-4.348665,-4.191503,-4.333331,-4.233068,-4.240906,-4.294415,-4.348644,-4.331799
2023-01-19,-4.234413,-4.348665,-4.298047,-4.321065,-4.291922,-4.355918,-4.357717,-4.277309
2023-01-20,-4.496131,-4.234413,-4.352033,-4.258462,-4.246529,-4.261015,-4.298935,-4.330560
2023-01-23,-4.295242,-4.496131,-4.403849,-4.416994,-4.366138,-4.407288,-4.411388,-4.365698
2023-01-24,-4.369955,-4.295242,-4.360888,-4.303186,-4.297139,-4.343978,-4.374077,-4.336176
2023-01-25,-4.241924,-4.369955,-4.363940,-4.349882,-4.323642,-4.368740,-4.378551,-4.330017
2023-01-26,-4.314743,-4.241924,-4.336805,-4.287738,-4.267191,-4.285685,-4.317765,-4.299631
2023-01-27,-4.376705,-4.314743,-4.328585,-4.326013,-4.290522,-4.302334,-4.324982,-4.283385
2023-01-30,-4.349423,-4.376705,-4.375563,-4.347668,-4.324573,-4.341503,-4.365068,-4.340219
2023-01-31,-4.237340,-4.349423,-4.358096,-4.338764,-4.320623,-4.353217,-4.374900,-4.328199
2023-02-01,-3.946226,-4.237340,-4.310193,-4.282559,-4.267282,-4.288938,-4.317047,-4.270376
2023-02-02,-4.207069,-3.946226,-4.149904,-4.133660,-4.114909,-4.127299,-4.199690,-4.120684
2023-02-03,-3.616971,-4.207069,-4.222686,-4.238618,-4.200700,-4.149051,-4.158366,-4.171438
2023-02-06,-4.268379,-3.616971,-3.938481,-3.931445,-3.922594,-3.976317,-3.998722,-3.987061
2023-02-07,-3.954759,-4.268379,-4.138182,-4.210548,-4.170905,-4.108801,-4.067566,-4.096888
2023-02-08,-4.266057,-3.954759,-4.098779,-4.053934,-4.062354,-4.046705,-4.032876,-4.123670
2023-02-09,-4.314705,-4.266057,-4.150016,-4.212204,-4.193577,-4.183085,-4.186675,-4.120936
2023-02-10,-4.422898,-4.314705,-4.305685,-4.239163,-4.245920,-4.242290,-4.223921,-4.281586
2023-02-13,-4.679501,-4.422898,-4.338850,-4.341506,-4.317820,-4.364483,-4.350829,-4.288571
2023-02-14,-4.149080,-4.679501,-4.534010,-4.480873,-4.467468,-4.553085,-4.477820,-4.483317
2023-02-15,-4.317420,-4.149080,-4.322136,-4.267535,-4.253094,-4.358084,-4.419416,-4.302646
2023-02-16,-4.416322,-4.317420,-4.345337,-4.340583,-4.294399,-4.326008,-4.364419,-4.302152
2023-02-17,-4.423652,-4.416322,-4.434526,-4.391567,-4.347157,-4.342022,-4.320743,-4.407369
2023-02-21,-4.661120,-4.423652,-4.387006,-4.395660,-4.364800,-4.405142,-4.396430,-4.370965
2023-02-22,-4.288790,-4.661120,-4.537285,-4.499194,-4.489530,-4.561209,-4.496723,-4.520184
2023-02-23,-4.479335,-4.288790,-4.404221,-4.348031,-4.342171,-4.424990,-4.457390,-4.399687
2023-02-24,-4.675693,-4.479335,-4.450015,-4.441526,-4.407934,-4.457959,-4.455286,-4.412453
2023-02-27,-4.764465,-4.675693,-4.597259,-4.545166,-4.517020,-4.564026,-4.488332,-4.577059
2023-02-28,-4.923890,-4.764465,-4.631270,-4.610046,-4.591460,-4.703302,-4.620671,-4.643962
2023-03-01,-4.455407,-4.923890,-4.764000,-4.700693,-4.697330,-4.829583,-4.735604,-4.751658
2023-03-02,-4.629959,-4.455407,-4.587197,-4.511845,-4.504332,-4.646216,-4.663435,-4.611415
2023-03-03,-4.600824,-4.629959,-4.616444,-4.598909,-4.552928,-4.641617,-4.612688,-4.597152
2023-03-06,-4.388197,-4.600824,-4.631119,-4.584211,-4.546037,-4.597858,-4.551850,-4.645738
2023-03-07,-4.193089,-4.388197,-4.461706,-4.470330,-4.442361,-4.495723,-4.539175,-4.489213
2023-03-08,-4.557330,-4.193089,-4.350094,-4.337120,-4.321330,-4.318383,-4.397444,-4.350323
2023-03-09,-4.397265,-4.557330,-4.483224,-4.506321,-4.463500,-4.426955,-4.390012,-4.459812
2023-03-10,-4.132662,-4.397265,-4.426528,-4.422893,-4.411414,-4.410866,-4.410800,-4.425127
2023-03-13,-3.889474,-4.132662,-4.257063,-4.279783,-4.272538,-4.283445,-4.369677,-4.246961
2023-03-14,-4.101203,-3.889474,-4.132487,-4.139524,-4.116202,-4.084708,-4.161028,-4.113228
2023-03-15,-4.151887,-4.101203,-4.159528,-4.221815,-4.170473,-4.077567,-4.072447,-4.114349
2023-03-16,-4.418110,-4.151887,-4.171801,-4.213990,-4.194391,-4.113908,-4.092212,-4.143721
2023-03-17,-4.228743,-4.418110,-4.290342,-4.326922,-4.326389,-4.288467,-4.251717,-4.243559
2023-03-20,-4.422043,-4.228743,-4.274835,-4.253360,-4.265324,-4.269442,-4.297109,-4.238237
2023-03-21,-4.686725,-4.422043,-4.359432,-4.372286,-4.350970,-4.364145,-4.366867,-4.297318
2023-03-22,-4.127116,-4.686725,-4.553892,-4.526226,-4.501233,-4.542448,-4.467336,-4.484258
2023-03-23,-4.358353,-4.127116,-4.303043,-4.284733,-4.270152,-4.345719,-4.429596,-4.285433
2023-03-24,-4.420801,-4.358353,-4.362023,-4.376920,-4.336282,-4.343911,-4.383362,-4.318673
2023-03-27,-4.669960,-4.420801,-4.442521,-4.417323,-4.375146,-4.352390,-4.331438,-4.409208
2023-03-28,-4.769360,-4.669960,-4.510596,-4.541619,-4.507833,-4.555904,-4.496615,-4.492457
2023-03-29,-4.962227,-4.769360,-4.640089,-4.590425,-4.593032,-4.694536,-4.627195,-4.625019
2023-03-30,-4.978251,-4.962227,-4.775811,-4.731124,-4.719008,-4.845582,-4.776160,-4.758122
2023-03-31,-4.962414,-4.978251,-4.858152,-4.780749,-4.769457,-4.902969,-4.857952,-4.802509
2023-04-03,-4.822303,-4.962414,-4.877114,-4.814324,-4.788485,-4.920702,-4.899120,-4.858553
2023-04-04,-4.732625,-4.822303,-4.832427,-4.765945,-4.735908,-4.864717,-4.860966,-4.843917
2023-04-05,-4.627570,-4.732625,-4.764453,-4.725784,-4.686783,-4.794548,-4.793297,-4.811292
2023-04-06,-4.824070,-4.627570,-4.685695,-4.659413,-4.624791,-4.705017,-4.675556,-4.747552
2023-04-10,-4.698555,-4.824070,-4.740917,-4.737192,-4.704763,-4.759513,-4.712686,-4.793500
2023-04-11,-4.914118,-4.698555,-4.693861,-4.666836,-4.660516,-4.733085,-4.704690,-4.755821
2023-04-12,-4.495120,-4.914118,-4.774944,-4.768022,-4.759006,-4.830191,-4.780559,-4.810522
2023-04-13,-4.825988,-4.495120,-4.624621,-4.575161,-4.578392,-4.660282,-4.656051,-4.678572
2023-04-14,-4.549238,-4.825988,-4.710615,-4.736474,-4.701052,-4.754784,-4.698560,-4.723782
2023-04-17,-5.065563,-4.549238,-4.638802,-4.602097,-4.588962,-4.632553,-4.626289,-4.676938
2023-04-18,-4.690548,-5.065563,-4.805857,-4.853740,-4.818010,-4.850453,-4.795811,-4.820271
2023-04-19,-4.917491,-4.690548,-4.740959,-4.680502,-4.687895,-4.773635,-4.757410,-4.779608
2023-04-20,-4.740261,-4.917491,-4.776518,-4.811518,-4.778426,-4.863313,-4.811649,-4.795613
