date,MKT,TB,TS,DEF,INF,VIX,DXY_RET
2020-07-29,0.012424016598785,0.11,0.47,1.13,1.38,3.1822118563252286,-0.0053327643836176275
2020-07-30,-0.0037538233659606328,0.09,0.4600000000000001,1.12,1.37,3.2092294570604114,-0.0025735094109634593
2020-07-31,0.007666933561569896,0.09,0.4600000000000001,1.12,1.4,3.197039092829453,0.0050526901490504095
2020-08-03,0.007177055185357886,0.1,0.4600000000000001,1.1,1.46,3.1896529944715897,0.00010698616385718118
2020-08-04,0.003608358953400733,0.09,0.43000000000000005,1.06,1.45,3.168003504127518,-0.001283451835101923
2020-08-05,0.006425774799231179,0.1,0.45000000000000007,1.1100000000000003,1.52,3.1350593288193775,-0.005889863338405132
2020-08-06,0.006423727305696017,0.1,0.45000000000000007,1.08,1.53,3.1201598350871125,-0.00043090503865483853
2020-08-07,0.0006290612946760498,0.1,0.47,1.1100000000000003,1.5,3.100542596684933,0.007005081576307415
2020-08-10,0.002737853215110994,0.11,0.48,1.0899999999999999,1.49,3.0969341161400745,0.001498281100069887
2020-08-11,-0.007973497233601193,0.11,0.53,1.08,1.5,3.1793030783228886,0.0005342532740439943
2020-08-12,0.013992184410872573,0.11,0.58,1.0700000000000003,1.56,3.1036894458780013,-0.0020292087748062793
2020-08-13,-0.002051142604466203,0.1,0.61,1.0099999999999998,1.56,3.0969341161400745,-0.0010702707716465643
2020-08-14,-0.00017585087673638091,0.1,0.61,1.02,1.53,3.0933125672924255,-0.002571222125408501
2020-08-17,0.0027058742571104987,0.1,0.59,1.0100000000000002,1.54,3.0610517575420677,-0.0026852846841828315
2020-08-18,0.002299817725445526,0.09,0.5800000000000001,1.0100000000000002,1.55,3.0685179539203564,-0.006246654179712707
2020-08-19,-0.00440876050077588,0.11,0.5700000000000001,1.0,1.55,3.115291549229524,0.006719440437181534
2020-08-20,0.003154267689769782,0.11,0.54,0.9699999999999998,1.48,3.123245563630877,-0.0010765257269690354
2020-08-21,0.0034371387905081673,0.1,0.54,0.98,1.52,3.115291549229524,0.004957420842051974
2020-08-24,0.010038956398246748,0.12,0.53,0.9699999999999998,1.57,3.107720813018059,0.0005362257561158934
2020-08-25,0.003591986073925521,0.11,0.58,0.96,1.6,3.092405191982908,-0.0030011404022792787
2020-08-26,0.010191261060118913,0.11,0.58,0.9500000000000002,1.63,3.1471649969860382,-0.00010744471292867264
2020-08-27,0.0016686789315387665,0.11,0.63,0.9900000000000002,1.65,3.1974478493938725,0.0
2020-08-28,0.006728597101317626,0.1,0.64,1.0500000000000003,1.68,3.1337535315764806,-0.006880973819472058
2020-08-31,-0.002199327793393827,0.11,0.61,0.9700000000000002,1.69,3.273742720531385,-0.002490022194376329
2020-09-01,0.0075202411118515024,0.12,0.56,1.0100000000000002,1.65,3.2627013365381456,0.0021705768348925236
2020-09-02,0.015361148250045689,0.12,0.54,1.04,1.61,3.2797827482859945,0.005523090280015408
2020-09-03,-0.0351302087947063,0.11,0.52,1.0499999999999998,1.53,3.5145260215560947,-0.0011847131088776885
2020-09-04,-0.008137392343639974,0.11,0.61,1.06,1.57,3.4258899942525267,-0.0002156204822840735
2020-09-07,-4.365079365079366e-06,0.11,0.61,1.06,1.57,3.4258899942525267,0.0
2020-09-08,-0.027761500832519728,0.13,0.5599999999999999,1.0699999999999998,1.55,3.448716868528817,0.008196744243147869
2020-09-09,0.020140224432012736,0.12,0.59,1.0099999999999998,1.57,3.3607225305592063,-0.0023534575610048014
2020-09-10,-0.017589558494941322,0.12,0.56,1.0300000000000002,1.54,3.391483658659055,0.0008577546625325727
2020-09-11,0.0005287071112289845,0.11,0.56,1.04,1.53,3.2910104538604994,-0.00010707635770368373
2020-09-14,0.012737464009992424,0.11,0.5700000000000001,1.02,1.54,3.2523106157114876,-0.0027858366134089207
2020-09-15,0.0052149944983239625,0.11,0.5700000000000001,1.0299999999999998,1.54,3.2422016561344913,-0.00021485594855463752
2020-09-16,-0.004623708500973442,0.12,0.57,1.0499999999999998,1.57,3.259633852498868,0.0017194629496770641
2020-09-17,-0.008415937304973913,0.09,0.6,1.04,1.57,3.2756341240863804,-0.002574808133535389
2020-09-18,-0.011186550061378751,0.1,0.6,1.06,1.58,3.251536604154054,-0.0004302561579232478
2020-09-21,-0.01157506618477405,0.1,0.5800000000000001,1.06,1.5,3.3243163620434584,0.0065640870369994
2020-09-22,0.01051397690684547,0.1,0.5800000000000001,1.0699999999999998,1.5,3.29063821381853,0.0048107434663011706
2020-09-23,-0.023725820172393223,0.11,0.5700000000000001,1.0499999999999998,1.48,3.352707169832234,0.004255788221834811
2020-09-24,0.0029834908889888067,0.1,0.5700000000000001,1.04,1.45,3.3502549109527053,-0.0004237834069922286
2020-09-25,0.015972755521645846,0.1,0.56,1.0899999999999999,1.43,3.272606115475923,0.002437767468503882
2020-09-28,0.016106225119718817,0.11,0.56,1.0700000000000003,1.48,3.265377678911282,-0.003383375857782589
2020-09-29,-0.0048162359718159,0.09,0.5700000000000001,1.06,1.49,3.268427621122788,-0.0039253420135433315
2020-09-30,0.008249749974252487,0.1,0.59,1.12,1.5,3.272227032190504,0.0
2020-10-01,0.005289336340719494,0.09,0.5900000000000001,1.1,1.48,3.284663593980715,-0.001917140338118073
2020-10-02,-0.00958122360718782,0.09,0.61,1.0899999999999999,1.48,3.318902108561333,0.0013872292678265286
2020-10-05,0.017968740422173838,0.1,0.68,1.0699999999999998,1.52,3.3307748846214262,-0.003516562388514388
2020-10-06,-0.013977483946194967,0.1,0.66,1.0699999999999998,1.51,3.3837120517931956,0.0034220905519606326
2020-10-07,0.017392786615249737,0.1,0.7100000000000001,1.12,1.54,3.3343450556416125,-0.00213156318590757
2020-10-08,0.008006552213923553,0.09,0.6900000000000001,1.13,1.56,3.2718477327887663,-0.00021357090305451631
2020-10-09,0.008789564866647006,0.1,0.6900000000000001,1.12,1.56,3.2188758248682006,-0.005875473220507521
2020-10-12,0.016411844709679328,0.1,0.6900000000000001,1.12,1.56,3.221671899997255,0.0001074805124958722
2020-10-13,-0.0063112840734495,0.11,0.63,1.1,1.52,3.2607852162393964,0.004942506564746818
2020-10-14,-0.006627903658264664,0.12,0.61,1.1,1.52,3.2733639957026597,-0.0016037798336003828
2020-10-15,-0.0015321203854648,0.11,0.63,1.1100000000000003,1.52,3.294725111692035,0.005140323099720678
2020-10-16,0.0001305544780902914,0.11,0.65,1.1099999999999999,1.53,3.310907904747825,-0.0019177530791101294
2020-10-19,-0.016334226857683157,0.11,0.67,1.1,1.53,3.373483553553028,-0.0026686592568914147
