date,AAPL_log_rv,AMZN_log_rv,JPM_log_rv
2017-01-26,-5.315826,-5.034134,-4.769993
2017-01-27,-5.470795,-4.890062,-5.219959
2017-01-30,-5.368163,-4.352016,-4.877448
2017-01-31,-5.129645,-4.887196,-4.500955
2017-02-01,-4.522022,-4.905936,-4.695183
2017-02-02,-4.759339,-4.729974,-4.837794
2017-02-03,-5.111655,-4.253709,-4.715045
2017-02-06,-5.373735,-4.911526,-5.048379
2017-02-07,-5.071830,-5.079675,-4.975738
2017-02-08,-5.293230,-5.260299,-4.790443
2017-02-09,-5.167918,-5.121217,-5.017552
2017-02-10,-5.189751,-5.613750,-5.033755
2017-02-13,-5.449666,-5.169137,-4.981246
2017-02-14,-5.184899,-5.062086,-4.599396
2017-02-15,-5.014941,-5.065614,-4.575530
2017-02-16,-5.118173,-4.841541,-4.441561
2017-02-17,-5.454360,-5.216718,-5.088141
2017-02-21,-5.602782,-5.207562,-5.115007
2017-02-22,-5.547218,-5.190273,-5.102763
2017-02-23,-5.234617,-4.794642,-4.898008
2017-02-24,-5.263371,-4.881414,-4.753300
2017-02-27,-5.278252,-5.272700,-5.094965
2017-02-28,-5.361941,-4.967154,-4.848632
2017-03-01,-5.065425,-5.104384,-4.846033
2017-03-02,-5.047564,-5.317182,-4.802166
2017-03-03,-5.323971,-5.263716,-4.968749
2017-03-06,-5.260129,-5.224307,-5.018370
2017-03-07,-5.061416,-5.235672,-5.098140
2017-03-08,-5.323349,-5.011539,-4.749931
2017-03-09,-5.105851,-5.306510,-5.016993
2017-03-10,-5.494371,-5.327505,-4.819364
2017-03-13,-5.425366,-5.521905,-5.180031
2017-03-14,-5.473441,-5.502238,-5.043062
2017-03-15,-5.269568,-5.248299,-4.617904
2017-03-16,-5.513105,-5.471638,-5.103684
2017-03-17,-5.579325,-5.771983,-5.091573
2017-03-20,-5.339261,-5.119821,-4.852912
2017-03-21,-4.710624,-4.680280,-4.303492
2017-03-22,-4.862915,-4.654671,-4.404744
2017-03-23,-5.027363,-5.091005,-4.628653
2017-03-24,-5.167900,-5.226120,-4.641282
2017-03-27,-5.049871,-4.860414,-4.509355
2017-03-28,-5.007403,-5.013929,-4.803980
2017-03-29,-5.033170,-4.980428,-4.933312
2017-03-30,-5.144856,-5.241653,-4.954426
2017-03-31,-5.323175,-4.935939,-4.850437
2017-04-03,-5.194612,-4.722591,-4.625916
2017-04-04,-5.211883,-4.740717,-4.826047
2017-04-05,-4.755615,-4.328901,-4.479403
2017-04-06,-4.801322,-4.315964,-4.482004
2017-04-07,-5.250985,-4.838018,-4.788792
2017-04-10,-5.305165,-4.946104,-4.828669
2017-04-11,-4.377882,-4.716596,-4.651140
2017-04-12,-4.893123,-5.072062,-4.735889
2017-04-13,-5.192831,-5.108535,-4.359524
2017-04-17,-5.300777,-5.249903,-4.833608
2017-04-18,-5.189578,-4.779350,-4.499583
2017-04-19,-5.369892,-5.057096,-4.965878
2017-04-20,-5.265838,-5.024970,-4.918754
2017-04-21,-5.173625,-5.416809,-4.817670
2017-04-24,-5.426530,-5.294463,-4.799705
2017-04-25,-5.468259,-5.193699,-4.740719
2017-04-26,-5.031345,-4.887826,-4.683460
2017-04-27,-5.199137,-4.881815,-4.973599
2017-04-28,-5.234100,-4.498508,-5.001542
2017-05-01,-5.103404,-4.664309,-4.841545
2017-05-02,-5.122428,-4.899824,-5.135051
2017-05-03,-4.448060,-4.959563,-4.969205
2017-05-04,-4.893965,-4.796300,-4.939378
2017-05-05,-5.160788,-5.205000,-5.109263
2017-05-08,-4.630032,-5.073639,-4.984157
2017-05-09,-4.837129,-4.966502,-4.913548
2017-05-10,-4.911343,-4.827016,-5.267171
2017-05-11,-5.015638,-5.217973,-4.988347
2017-05-12,-4.908481,-5.396441,-5.211538
2017-05-15,-4.818860,-4.844547,-5.366429
2017-05-16,-5.010927,-5.092459,-5.118423
2017-05-17,-4.316087,-4.580698,-4.458964
2017-05-18,-4.559400,-4.661428,-4.296522
2017-05-19,-4.972570,-5.008410,-4.899145
2017-05-22,-5.024390,-5.343213,-4.908325
2017-05-23,-5.249179,-5.018641,-4.833433
2017-05-24,-5.201302,-5.160579,-4.993231
2017-05-25,-5.169697,-4.920564,-4.868786
2017-05-26,-5.437408,-4.898318,-5.133355
2017-05-30,-5.418119,-5.360389,-4.982625
2017-05-31,-5.006251,-4.700851,-4.255086
2017-06-01,-5.281803,-4.915935,-4.734943
2017-06-02,-5.244687,-5.059560,-4.680882
2017-06-05,-4.993699,-5.158630,-5.091769
2017-06-06,-4.821705,-4.732548,-4.846408
2017-06-07,-4.970104,-4.976433,-4.985019
2017-06-08,-5.204334,-5.413005,-4.449589
2017-06-09,-3.508232,-3.642184,-4.399104
2017-06-12,-3.886634,-3.717037,-4.661744
2017-06-13,-4.616487,-4.470114,-4.790053
2017-06-14,-4.433512,-4.344428,-4.653838
2017-06-15,-4.342846,-4.428363,-4.814291
2017-06-16,-4.791333,-4.200992,-4.968795
2017-06-19,-4.636032,-4.557237,-5.091457
2017-06-20,-4.838363,-4.789431,-5.080398
2017-06-21,-4.949852,-4.924301,-4.762614
2017-06-22,-4.990413,-4.810059,-4.927668
2017-06-23,-4.887936,-5.205177,-4.946460
2017-06-26,-4.704902,-4.800095,-4.858500
2017-06-27,-4.568531,-4.438010,-4.667125
2017-06-28,-4.559314,-4.224368,-4.698439
2017-06-29,-4.365247,-4.229198,-4.173103
2017-06-30,-4.763766,-4.445290,-4.814534
2017-07-03,-4.795120,-4.558289,-4.676798
2017-07-05,-4.614852,-4.516161,-4.703342
2017-07-06,-4.737559,-4.430636,-4.576556
2017-07-07,-4.855230,-4.972059,-5.026353
2017-07-10,-4.878629,-4.962282,-4.966269
2017-07-11,-4.821367,-4.704785,-4.653925
2017-07-12,-5.054170,-5.090275,-4.856405
2017-07-13,-4.818247,-4.981872,-4.964001
2017-07-14,-5.105467,-5.267665,-4.664120
2017-07-17,-4.836980,-4.706808,-5.086477
2017-07-18,-5.056548,-4.841259,-4.724364
2017-07-19,-4.797036,-4.724400,-5.256062
2017-07-20,-5.026962,-4.790651,-4.907715
2017-07-21,-5.025356,-5.018738,-5.092570
2017-07-24,-5.132212,-5.009467,-5.308349
2017-07-25,-4.954406,-4.920623,-4.976215
2017-07-26,-5.169752,-5.269301,-4.944855
2017-07-27,-3.943336,-3.776543,-4.927307
2017-07-28,-4.893103,-4.375721,-5.143537
2017-07-31,-4.736642,-4.307963,-5.260198
2017-08-01,-5.024750,-4.557874,-5.084044
2017-08-02,-4.162319,-4.237088,-4.994282
2017-08-03,-4.636375,-4.656433,-4.894069
2017-08-04,-4.562183,-4.696851,-4.895380
2017-08-07,-5.149751,-4.933568,-5.346628
2017-08-08,-4.648272,-4.998008,-4.815073
2017-08-09,-4.656158,-4.806051,-4.671470
2017-08-10,-4.411574,-4.319062,-4.773550
2017-08-11,-4.512422,-4.491804,-4.821233
2017-08-14,-4.954251,-5.045261,-5.181129
2017-08-15,-4.971485,-4.890711,-5.040870
2017-08-16,-4.689223,-4.778926,-5.024805
2017-08-17,-4.557975,-4.760046,-4.648015
2017-08-18,-4.453180,-4.538341,-4.830983
2017-08-21,-4.453053,-4.552603,-5.053287
2017-08-22,-5.179908,-4.984460,-5.119135
2017-08-23,-4.888145,-4.934335,-5.054077
2017-08-24,-4.714367,-4.519687,-5.256262
2017-08-25,-5.002406,-4.761913,-5.039930
2017-08-28,-4.810866,-4.825774,-5.294128
2017-08-29,-4.642565,-4.866989,-5.023676
2017-08-30,-4.835435,-4.970169,-5.238734
2017-08-31,-5.378906,-5.304519,-5.029248
2017-09-01,-5.326620,-5.050250,-5.083700
2017-09-05,-4.454982,-4.548729,-4.568779
2017-09-06,-4.774923,-4.860867,-5.007736
2017-09-07,-4.842020,-4.870498,-4.657602
2017-09-08,-4.990036,-5.089237,-4.629549
2017-09-11,-4.811827,-5.125016,-4.837190
2017-09-12,-4.063666,-4.951631,-4.850637
2017-09-13,-4.441623,-4.763028,-4.996465
2017-09-14,-5.113506,-4.778851,-5.212845
2017-09-15,-4.819599,-4.682795,-4.958738
2017-09-18,-4.841307,-4.539876,-5.141011
2017-09-19,-4.763155,-4.515167,-5.079640
2017-09-20,-4.322586,-4.621479,-4.392489
2017-09-21,-4.691793,-4.851177,-4.796377
2017-09-22,-4.646612,-5.084215,-5.245091
2017-09-25,-4.471545,-4.500285,-4.805274
2017-09-26,-4.692773,-4.632282,-5.030221
2017-09-27,-5.047833,-4.898634,-5.024748
2017-09-28,-5.070334,-4.717491,-4.847384
2017-09-29,-4.806795,-4.992283,-5.318233
2017-10-02,-4.949269,-4.786148,-4.995218
2017-10-03,-5.115265,-4.590715,-5.152029
2017-10-04,-5.171277,-4.626241,-4.964001
2017-10-05,-5.158248,-5.309196,-4.924750
2017-10-06,-5.289001,-4.655257,-5.022953
2017-10-09,-5.010519,-4.726304,-5.297801
2017-10-10,-4.934845,-4.505106,-5.083864
2017-10-11,-5.081533,-4.942630,-4.990795
2017-10-12,-5.247224,-4.512808,-4.653892
2017-10-13,-5.302998,-5.236080,-4.407876
2017-10-16,-5.251624,-5.223922,-4.954018
2017-10-17,-4.976575,-5.160066,-4.996892
2017-10-18,-5.285236,-5.039165,-4.978415
2017-10-19,-4.736155,-4.954295,-5.102965
2017-10-20,-5.104264,-5.211009,-5.257432
2017-10-23,-5.026429,-4.707838,-5.149681
2017-10-24,-5.143490,-4.829500,-5.178995
2017-10-25,-4.778868,-4.413926,-4.402459
2017-10-26,-5.147291,-4.543047,-4.871306
2017-10-27,-4.582650,-4.090406,-4.727697
2017-10-30,-4.333171,-4.264591,-4.874881
2017-10-31,-4.899303,-4.785996,-5.119875
2017-11-01,-4.402833,-4.656710,-5.055585
2017-11-02,-4.378882,-4.561857,-4.669838
2017-11-03,-4.310063,-4.795196,-5.113817
2017-11-06,-4.805942,-4.854110,-5.039087
2017-11-07,-4.757241,-4.842271,-4.817937
2017-11-08,-5.317225,-5.082270,-4.731724
2017-11-09,-4.634178,-4.678811,-4.507687
2017-11-10,-5.368749,-5.319353,-5.033460
2017-11-13,-5.159838,-4.961313,-4.904362
2017-11-14,-4.636478,-4.552991,-4.916787
2017-11-15,-4.854272,-4.551917,-4.443029
2017-11-16,-5.115528,-5.386571,-5.001863
2017-11-17,-4.960763,-5.141100,-4.852082
2017-11-20,-5.180247,-5.009010,-5.148890
2017-11-21,-5.052513,-5.288572,-5.288157
2017-11-22,-4.891623,-5.028466,-5.345037
2017-11-24,-5.753886,-4.732390,-5.611015
2017-11-27,-5.052284,-4.182477,-5.066374
2017-11-28,-4.818326,-4.747155,-4.550858
2017-11-29,-4.040093,-3.713366,-4.079192
2017-11-30,-4.376143,-4.444929,-4.269304
2017-12-01,-4.277246,-4.278225,-3.804741
2017-12-04,-4.337249,-3.990321,-4.361901
2017-12-05,-4.639066,-4.161458,-4.481481
2017-12-06,-4.397486,-4.309139,-4.668165
2017-12-07,-4.645149,-4.691902,-4.738905
2017-12-08,-4.825760,-4.950279,-4.948657
2017-12-11,-4.731562,-4.779589,-5.132153
2017-12-12,-5.282109,-4.818209,-4.817893
2017-12-13,-4.918394,-4.712137,-4.687554
2017-12-14,-5.003599,-4.936117,-4.850361
2017-12-15,-5.259404,-5.032539,-4.737709
2017-12-18,-5.216898,-4.786640,-4.964134
2017-12-19,-4.795828,-4.687188,-4.948193
2017-12-20,-4.639326,-4.851549,-4.730475
2017-12-21,-5.217536,-4.831848,-5.020075
2017-12-22,-5.579549,-5.303923,-5.005124
2017-12-26,-4.837739,-4.856675,-5.070393
2017-12-27,-5.465758,-5.060595,-5.120710
2017-12-28,-5.542832,-5.725848,-5.376964
2017-12-29,-5.217399,-5.242270,-5.085424
2018-01-02,-5.108445,-5.048868,-4.977405
2018-01-03,-4.960611,-5.242183,-4.953413
2018-01-04,-5.083711,-4.933861,-4.650135
2018-01-05,-5.192845,-5.129163,-4.625840
2018-01-08,-5.307505,-4.694890,-5.252513
2018-01-09,-5.028180,-4.576000,-4.986484
2018-01-10,-4.934854,-4.551939,-4.897255
2018-01-11,-5.478543,-5.013765,-5.184621
2018-01-12,-5.352219,-4.371803,-4.558892
2018-01-16,-4.554391,-4.041026,-4.423905
2018-01-17,-4.526270,-4.383239,-4.688399
2018-01-18,-4.527966,-4.688626,-4.784137
2018-01-19,-4.985981,-4.600842,-4.951793
2018-01-22,-5.031697,-4.820007,-4.855615
2018-01-23,-4.525850,-4.577297,-4.794135
2018-01-24,-4.450173,-3.931278,-4.680144
2018-01-25,-4.568665,-4.403724,-4.591367
2018-01-26,-4.685040,-4.774316,-4.987812
2018-01-29,-4.487794,-4.109002,-4.951036
2018-01-30,-4.470663,-4.321027,-4.663825
2018-01-31,-4.645873,-4.426717,-4.753454
2018-02-01,-4.557791,-3.710162,-4.714159
2018-02-02,-4.239026,-3.352976,-4.361975
2018-02-05,-3.598995,-3.232371,-3.443280
2018-02-06,-3.419239,-3.376431,-3.268850
2018-02-07,-4.097981,-3.824192,-4.136139
2018-02-08,-3.815174,-3.572685,-3.794442
2018-02-09,-3.415369,-2.987194,-3.538005
2018-02-12,-4.195617,-4.037116,-4.186109
2018-02-13,-4.348510,-4.185824,-4.518168
2018-02-14,-4.489384,-4.243230,-4.293503
2018-02-15,-4.259511,-4.099621,-4.297775
2018-02-16,-4.315054,-4.375568,-4.582161
2018-02-20,-4.464729,-4.305438,-4.551164
2018-02-21,-4.514255,-4.430119,-4.402287
2018-02-22,-4.474062,-4.205041,-4.342525
2018-02-23,-4.947722,-4.878967,-4.786573
2018-02-26,-4.838073,-4.840072,-4.770768
2018-02-27,-4.543398,-4.490283,-4.304631
2018-02-28,-4.618464,-4.802557,-4.443642
2018-03-01,-3.858734,-3.661735,-3.980002
2018-03-02,-4.268111,-4.075034,-4.093639
2018-03-05,-4.374020,-4.508770,-4.436327
2018-03-06,-4.793008,-4.633402,-4.637837
2018-03-07,-4.627750,-4.786364,-4.614076
2018-03-08,-4.804249,-4.965041,-4.502213
2018-03-09,-5.226103,-5.355574,-4.795625
2018-03-12,-4.711234,-4.811034,-4.715466
2018-03-13,-4.378299,-4.251882,-4.560445
2018-03-14,-4.512542,-4.668112,-4.311741
2018-03-15,-4.658086,-4.858321,-4.558282
2018-03-16,-4.958904,-4.746422,-4.837931
