date,actual,fnn,lstm,nar
2023-03-13,-3.889474,-4.283445,-4.369677,-4.246961
2023-03-14,-4.101203,-4.084708,-4.161028,-4.113228
2023-03-15,-4.151887,-4.077567,-4.072447,-4.114349
2023-03-16,-4.418110,-4.113908,-4.092212,-4.143721
2023-03-17,-4.228743,-4.288467,-4.251717,-4.243559
2023-03-20,-4.422043,-4.269442,-4.297109,-4.238237
2023-03-21,-4.686725,-4.364145,-4.366867,-4.297318
2023-03-22,-4.127116,-4.542448,-4.467336,-4.484258
2023-03-23,-4.358353,-4.345719,-4.429596,-4.285433
2023-03-24,-4.420801,-4.343911,-4.383362,-4.318673
2023-03-27,-4.669960,-4.352390,-4.331438,-4.409208
2023-03-28,-4.769360,-4.555904,-4.496615,-4.492457
2023-03-29,-4.962227,-4.694536,-4.627195,-4.625019
2023-03-30,-4.978251,-4.845582,-4.776160,-4.758122
2023-03-31,-4.962414,-4.902969,-4.857952,-4.802509
2023-04-03,-4.822303,-4.920702,-4.899120,-4.858553
2023-04-04,-4.732625,-4.864717,-4.860966,-4.843917
2023-04-05,-4.627570,-4.794548,-4.793297,-4.811292
2023-04-06,-4.824070,-4.705017,-4.675556,-4.747552
2023-04-10,-4.698555,-4.759513,-4.712686,-4.793500
2023-04-11,-4.914118,-4.733085,-4.704690,-4.755821
2023-04-12,-4.495120,-4.830191,-4.780559,-4.810522
2023-04-13,-4.825988,-4.660282,-4.656051,-4.678572
2023-04-14,-4.549238,-4.754784,-4.698560,-4.723782
2023-04-17,-5.065563,-4.632553,-4.626289,-4.676938
2023-04-18,-4.690548,-4.850453,-4.795811,-4.820271
2023-04-19,-4.917491,-4.773635,-4.757410,-4.779608
2023-04-20,-4.740261,-4.863313,-4.811649,-4.795613
2023-04-21,-4.791443,-4.785293,-4.755940,-4.788270
2023-04-24,-4.863316,-4.801568,-4.756856,-4.780072
2023-04-25,-4.738873,-4.818674,-4.775941,-4.822219
2023-04-26,-4.667666,-4.787194,-4.753875,-4.789725
2023-04-27,-4.861263,-4.733804,-4.699322,-4.729255
2023-04-28,-4.608529,-4.787556,-4.739821,-4.802737
2023-05-01,-4.825571,-4.702734,-4.683880,-4.714548
2023-05-02,-4.757845,-4.776100,-4.724808,-4.753512
2023-05-03,-4.599002,-4.759348,-4.726414,-4.773768
2023-05-04,-4.463287,-4.697022,-4.671542,-4.671590
2023-05-05,-4.386852,-4.566594,-4.558654,-4.584776
2023-05-08,-4.645395,-4.451419,-4.463747,-4.491921
2023-05-09,-5.147866,-4.526990,-4.518224,-4.570159
2023-05-10,-4.594149,-4.789098,-4.781798,-4.791354
2023-05-11,-4.715759,-4.771873,-4.732632,-4.695656
2023-05-12,-4.903965,-4.773559,-4.690598,-4.653794
2023-05-15,-5.146132,-4.772392,-4.732711,-4.782329
2023-05-16,-5.048370,-4.902577,-4.885946,-4.893041
2023-05-17,-4.800502,-4.942838,-4.934988,-4.920749
2023-05-18,-4.622775,-4.895227,-4.849919,-4.880346
2023-05-19,-4.814924,-4.771669,-4.700010,-4.796175
2023-05-22,-4.911888,-4.754069,-4.696157,-4.826853
2023-05-23,-4.929644,-4.806395,-4.766184,-4.865562
2023-05-24,-4.796348,-4.864412,-4.821757,-4.869677
2023-05-25,-4.664234,-4.841685,-4.787639,-4.833619
2023-05-26,-4.909918,-4.766399,-4.700810,-4.767028
2023-05-30,-4.506132,-4.797991,-4.744564,-4.826033
2023-05-31,-4.345500,-4.678263,-4.635051,-4.722021
2023-06-01,-4.769240,-4.530653,-4.480517,-4.543775
2023-06-02,-4.498389,-4.580324,-4.562843,-4.664281
2023-06-05,-3.717364,-4.561622,-4.553975,-4.588558
2023-06-06,-4.477767,-4.253444,-4.196319,-4.210904
2023-06-07,-4.598563,-4.239117,-4.251360,-4.318841
2023-06-08,-4.915558,-4.359434,-4.443605,-4.465516
2023-06-09,-4.690330,-4.723115,-4.715466,-4.603097
2023-06-12,-5.055915,-4.743471,-4.715002,-4.645413
2023-06-13,-4.901410,-4.860913,-4.843794,-4.752423
2023-06-14,-4.542420,-4.860697,-4.852811,-4.772248
2023-06-15,-4.999631,-4.750188,-4.696135,-4.704651
2023-06-16,-5.077301,-4.809546,-4.778322,-4.831601
2023-06-20,-4.916949,-4.878070,-4.893801,-4.922133
2023-06-21,-4.788681,-4.902827,-4.899645,-4.887440
2023-06-22,-4.822119,-4.848963,-4.812683,-4.856210
2023-06-23,-4.876759,-4.813253,-4.773287,-4.848874
2023-06-26,-4.819625,-4.820063,-4.791696,-4.861868
2023-06-27,-5.096421,-4.817784,-4.785747,-4.852682
2023-06-28,-4.703660,-4.890722,-4.890220,-4.927569
2023-06-29,-4.976646,-4.820287,-4.793553,-4.839034
2023-06-30,-4.930129,-4.866439,-4.835182,-4.864830
2023-07-03,-5.299263,-4.856084,-4.845789,-4.899098
2023-07-05,-4.764149,-4.954581,-5.004072,-4.997622
2023-07-06,-4.950060,-4.884589,-4.883618,-4.910798
2023-07-07,-4.912954,-4.893667,-4.864259,-4.902526
2023-07-10,-4.562941,-4.853926,-4.838343,-4.913324
2023-07-11,-4.676587,-4.745591,-4.696177,-4.774552
2023-07-12,-4.661247,-4.698723,-4.643437,-4.751107
2023-07-13,-5.027043,-4.657810,-4.609884,-4.720057
2023-07-14,-4.996940,-4.820861,-4.768780,-4.827669
2023-07-17,-5.053129,-4.876485,-4.838877,-4.871943
2023-07-18,-5.015006,-4.917328,-4.884942,-4.893555
2023-07-19,-4.046598,-4.912359,-4.880390,-4.904919
2023-07-20,-4.595635,-4.482033,-4.459989,-4.576600
2023-07-21,-4.775119,-4.509555,-4.452195,-4.584963
2023-07-24,-4.755327,-4.608649,-4.602376,-4.701612
2023-07-25,-5.168517,-4.732514,-4.677980,-4.678744
2023-07-26,-4.546114,-4.888243,-4.851748,-4.843408
2023-07-27,-4.637789,-4.730006,-4.693979,-4.727785
2023-07-28,-4.761511,-4.698261,-4.619292,-4.633304
2023-07-31,-5.008043,-4.694241,-4.642826,-4.748344
2023-08-01,-5.092959,-4.831082,-4.781716,-4.839703
2023-08-02,-4.722949,-4.907600,-4.878784,-4.897027
2023-08-03,-4.710877,-4.822309,-4.775393,-4.824460
2023-08-04,-3.931071,-4.762616,-4.689722,-4.762788
2023-08-07,-4.377542,-4.311316,-4.294371,-4.434537
2023-08-08,-4.526267,-4.297411,-4.289419,-4.399569
2023-08-09,-4.588048,-4.387321,-4.422211,-4.513615
2023-08-10,-4.567265,-4.545202,-4.523293,-4.482492
2023-08-11,-4.695315,-4.576846,-4.541787,-4.515099
2023-08-14,-4.749663,-4.639776,-4.610001,-4.569829
2023-08-15,-4.938892,-4.695807,-4.660817,-4.622350
2023-08-16,-4.643613,-4.791931,-4.753664,-4.746452
2023-08-17,-4.436068,-4.744086,-4.705782,-4.709513
2023-08-18,-4.681993,-4.610764,-4.578444,-4.577898
2023-08-21,-4.751814,-4.602996,-4.576132,-4.646340
2023-08-22,-4.865817,-4.669190,-4.642496,-4.700617
2023-08-23,-4.920323,-4.769102,-4.728498,-4.747859
2023-08-24,-4.729648,-4.817925,-4.781486,-4.803545
2023-08-25,-4.353502,-4.786248,-4.744277,-4.757621
2023-08-28,-4.795275,-4.592355,-4.568313,-4.583985
2023-08-29,-4.675856,-4.641242,-4.605523,-4.692359
2023-08-30,-4.617992,-4.655645,-4.634634,-4.702647
2023-08-31,-4.825037,-4.676571,-4.636094,-4.630486
2023-09-01,-4.855851,-4.721079,-4.680167,-4.723576
2023-09-05,-4.871556,-4.773445,-4.735685,-4.764883
2023-09-06,-4.191124,-4.811800,-4.771553,-4.774428
2023-09-07,-4.105788,-4.542669,-4.536388,-4.545632
2023-09-08,-4.434131,-4.289284,-4.312666,-4.326890
2023-09-11,-4.477272,-4.272595,-4.322195,-4.425204
2023-09-12,-4.128352,-4.386078,-4.427012,-4.431415
2023-09-13,-4.507203,-4.305668,-4.344832,-4.266523
2023-09-14,-4.578171,-4.372707,-4.399946,-4.344219
2023-09-15,-4.973958,-4.463751,-4.492302,-4.444258
2023-09-18,-4.861605,-4.722723,-4.705308,-4.615773
2023-09-19,-4.910938,-4.794356,-4.774365,-4.699866
2023-09-20,-4.505696,-4.832619,-4.809645,-4.735353
2023-09-21,-4.536782,-4.701336,-4.671159,-4.663372
2023-09-22,-4.676145,-4.614889,-4.581189,-4.623606
2023-09-25,-4.603486,-4.603022,-4.588441,-4.680607
2023-09-26,-4.573588,-4.622522,-4.603965,-4.641538
2023-09-27,-4.422248,-4.614789,-4.591241,-4.603940
2023-09-28,-4.291111,-4.519393,-4.515850,-4.525669
2023-09-29,-4.604885,-4.395829,-4.416356,-4.409464
2023-10-02,-4.410261,-4.465888,-4.479419,-4.496427
2023-10-03,-4.495744,-4.454724,-4.477037,-4.465090
2023-10-04,-4.561994,-4.498234,-4.497291,-4.439563
2023-10-05,-4.645138,-4.516335,-4.520947,-4.504352
2023-10-06,-4.591781,-4.595831,-4.582636,-4.535721
2023-10-09,-4.699524,-4.612845,-4.594462,-4.555899
2023-10-10,-4.803920,-4.657878,-4.630197,-4.607181
2023-10-11,-4.710587,-4.716797,-4.689074,-4.677190
2023-10-12,-4.599950,-4.728579,-4.696643,-4.684718
2023-10-13,-4.681222,-4.680644,-4.646296,-4.649160
2023-10-16,-4.646604,-4.669124,-4.644290,-4.668535
2023-10-17,-4.555920,-4.659164,-4.638490,-4.666602
2023-10-18,-4.426943,-4.625440,-4.610320,-4.614469
2023-10-19,-4.225464,-4.528431,-4.533160,-4.531924
2023-10-20,-4.594785,-4.364625,-4.404884,-4.385040
2023-10-23,-4.373162,-4.439212,-4.455882,-4.478203
2023-10-24,-4.576629,-4.423088,-4.454642,-4.447094
2023-10-25,-4.543177,-4.523375,-4.523236,-4.458933
2023-10-26,-4.104307,-4.532163,-4.536167,-4.515600
2023-10-27,-4.264186,-4.357561,-4.399866,-4.291766
2023-10-30,-4.475071,-4.262873,-4.314112,-4.289664
2023-10-31,-4.510604,-4.323616,-4.366859,-4.393136
2023-11-01,-4.454972,-4.454444,-4.475128,-4.417669
2023-11-02,-4.697845,-4.488166,-4.501321,-4.421875
2023-11-03,-4.190053,-4.589248,-4.576976,-4.523062
2023-11-06,-4.639768,-4.424102,-4.457543,-4.374769
2023-11-07,-4.753126,-4.508554,-4.506624,-4.463574
2023-11-08,-4.908413,-4.608784,-4.599207,-4.628043
2023-11-09,-4.588709,-4.773600,-4.748022,-4.698203
2023-11-10,-4.921968,-4.721988,-4.702580,-4.646867
2023-11-13,-5.030550,-4.777073,-4.746999,-4.739277
2023-11-14,-4.906249,-4.830026,-4.818286,-4.829954
2023-11-15,-5.010249,-4.849733,-4.842526,-4.843839
2023-11-16,-4.746424,-4.861967,-4.857647,-4.868776
2023-11-17,-4.904330,-4.807805,-4.789794,-4.844731
2023-11-20,-5.050335,-4.813755,-4.788012,-4.847909
2023-11-21,-5.121862,-4.842561,-4.830709,-4.910928
2023-11-22,-4.758367,-4.886288,-4.901457,-4.942553
2023-11-24,-5.502282,-4.840435,-4.837109,-4.870342
2023-11-27,-5.111829,-4.910677,-4.955263,-4.992706
2023-11-28,-5.227049,-4.914007,-4.964803,-4.972271
2023-11-29,-5.177046,-4.933772,-5.005557,-4.978996
2023-11-30,-4.792368,-4.919920,-4.973444,-4.992499
