date,actual,arfimax
2024-01-18,-4.566597,-4.615596
2024-01-19,-4.848564,-4.663703
2024-01-22,-4.531619,-4.779760
2024-01-23,-5.223170,-4.701523
2024-01-24,-4.861473,-4.930361
2024-01-25,-4.722425,-4.802493
2024-01-26,-4.939553,-4.756279
2024-01-29,-4.675485,-4.808703
2024-01-30,-4.605318,-4.733068
2024-01-31,-4.426333,-4.703944
2024-02-01,-4.658010,-4.534540
2024-02-02,-4.062286,-4.678049
2024-02-05,-4.360758,-4.500607
2024-02-06,-4.754361,-4.491529
2024-02-07,-4.869705,-4.669964
2024-02-08,-5.080555,-4.765329
2024-02-09,-5.130639,-4.840339
2024-02-12,-4.979472,-4.888685
2024-02-13,-4.777463,-4.792340
2024-02-14,-4.750982,-4.608136
2024-02-15,-4.482357,-4.745319
2024-02-16,-4.469275,-4.672537
2024-02-20,-4.577037,-4.594825
2024-02-21,-5.042214,-4.520930
2024-02-22,-5.009192,-4.713961
2024-02-23,-4.936102,-4.837767
2024-02-26,-5.024062,-4.852578
2024-02-27,-4.441185,-4.862753
2024-02-28,-4.875928,-4.728698
2024-02-29,-4.670717,-4.762588
2024-03-01,-4.762197,-4.777321
2024-03-04,-4.525218,-4.797757
2024-03-05,-4.650248,-4.683242
2024-03-06,-4.533796,-4.598304
2024-03-07,-4.535580,-4.618698
2024-03-08,-4.247900,-4.612428
2024-03-11,-4.604093,-4.484633
2024-03-12,-4.303814,-4.540198
2024-03-13,-4.819543,-4.592007
2024-03-14,-4.473920,-4.676339
2024-03-15,-4.681642,-4.562491
2024-03-18,-4.408464,-4.604655
2024-03-19,-4.717772,-4.577057
2024-03-20,-4.676439,-4.675940
2024-03-21,-4.284583,-4.719245
2024-03-22,-4.631412,-4.621562
2024-03-25,-4.809462,-4.646847
2024-03-26,-5.032013,-4.677740
2024-03-27,-4.634650,-4.785760
2024-03-28,-4.954622,-4.769847
2024-04-01,-5.236860,-4.788583
2024-04-02,-5.057593,-4.857137
2024-04-03,-4.743579,-4.784894
2024-04-04,-4.668432,-4.749559
2024-04-05,-5.037232,-4.562509
2024-04-08,-5.291184,-4.741805
2024-04-09,-4.469718,-4.892962
2024-04-10,-4.552451,-4.710298
2024-04-11,-4.528435,-4.600341
2024-04-12,-4.262087,-4.635138
2024-04-15,-4.187808,-4.374922
2024-04-16,-4.091516,-4.213414
2024-04-17,-4.550184,-4.263650
2024-04-18,-4.720628,-4.375960
2024-04-19,-4.691420,-4.486850
2024-04-22,-4.691265,-4.474511
2024-04-23,-4.699454,-4.634290
2024-04-24,-4.461533,-4.694668
2024-04-25,-4.512664,-4.565253
2024-04-26,-4.740854,-4.570319
2024-04-29,-4.405924,-4.691369
2024-04-30,-4.148359,-4.592074
2024-05-01,-4.288056,-4.391165
2024-05-02,-4.532525,-4.420023
2024-05-03,-4.253337,-4.553686
2024-05-06,-4.460819,-4.573732
2024-05-07,-4.462301,-4.572163
2024-05-08,-5.093011,-4.583261
2024-05-09,-4.966842,-4.774119
2024-05-10,-5.004870,-4.828584
2024-05-13,-4.946928,-4.874193
2024-05-14,-4.803694,-4.781448
2024-05-15,-5.023944,-4.791170
2024-05-16,-5.083744,-4.927696
2024-05-17,-5.409401,-4.947375
2024-05-20,-5.042344,-5.107381
2024-05-21,-5.314669,-5.025971
2024-05-22,-4.961732,-5.111820
2024-05-23,-4.587664,-4.978599
2024-05-24,-4.908544,-4.786485
2024-05-28,-4.427544,-4.916887
2024-05-29,-4.741930,-4.666494
2024-05-30,-4.789593,-4.614940
2024-05-31,-4.741542,-4.652156
2024-06-03,-4.627258,-4.824116
2024-06-04,-4.771967,-4.734582
2024-06-05,-4.763652,-4.761888
2024-06-06,-4.809162,-4.835201
