date,actual,narx
2023-05-22,-4.233608,-4.258192
2023-05-23,-4.177653,-4.227407
2023-05-24,-4.335166,-4.114756
2023-05-25,-4.275381,-4.156350
2023-05-26,-4.107947,-4.195342
2023-05-30,-3.865038,-4.100064
2023-05-31,-4.094901,-3.991704
2023-06-01,-4.203881,-4.003378
2023-06-02,-4.240619,-4.102471
2023-06-05,-4.372300,-4.204940
2023-06-06,-4.408601,-4.233279
2023-06-07,-3.932647,-4.331492
2023-06-08,-4.083437,-4.130993
2023-06-09,-4.272759,-4.142850
2023-06-12,-4.473080,-4.217585
2023-06-13,-4.319246,-4.313828
2023-06-14,-4.075670,-4.308519
2023-06-15,-4.370870,-4.211527
2023-06-16,-4.405684,-4.289450
2023-06-20,-4.035794,-4.338494
2023-06-21,-4.271467,-4.190740
2023-06-22,-3.916969,-4.209242
2023-06-23,-3.985027,-4.161666
2023-06-26,-4.138534,-4.070747
2023-06-27,-4.305084,-4.087061
2023-06-28,-4.202502,-4.227171
2023-06-29,-4.629338,-4.233488
2023-06-30,-4.554276,-4.404576
2023-07-03,-4.876037,-4.492274
2023-07-05,-4.704512,-4.567883
2023-07-06,-4.547446,-4.611928
2023-07-07,-4.665381,-4.485477
2023-07-10,-4.228580,-4.512833
2023-07-11,-4.287342,-4.381537
2023-07-12,-4.542548,-4.306048
2023-07-13,-4.539819,-4.412204
2023-07-14,-4.532900,-4.463003
2023-07-17,-4.382868,-4.466946
2023-07-18,-4.377979,-4.443600
2023-07-19,-4.168340,-4.428988
2023-07-20,-4.178797,-4.307167
2023-07-21,-4.161757,-4.213944
2023-07-24,-4.181984,-4.209833
2023-07-25,-4.822384,-4.206312
2023-07-26,-4.046483,-4.461272
2023-07-27,-4.108065,-4.292754
2023-07-28,-4.394554,-4.183525
2023-07-31,-4.568336,-4.352993
2023-08-01,-4.504387,-4.411227
2023-08-02,-4.170101,-4.412426
2023-08-03,-3.936580,-4.226002
2023-08-04,-3.750168,-4.098929
2023-08-07,-4.130273,-3.932648
2023-08-08,-4.283543,-4.043751
2023-08-09,-4.346525,-4.125283
2023-08-10,-4.323024,-4.184036
2023-08-11,-4.251305,-4.256562
2023-08-14,-4.475447,-4.276632
2023-08-15,-4.370089,-4.371231
2023-08-16,-4.127197,-4.271346
2023-08-17,-4.053300,-4.176260
2023-08-18,-4.173083,-4.078786
2023-08-21,-4.465401,-4.111928
2023-08-22,-4.377570,-4.244876
2023-08-23,-4.601170,-4.257905
2023-08-24,-4.173659,-4.420668
2023-08-25,-4.039166,-4.250881
2023-08-28,-4.364712,-4.191477
2023-08-29,-4.450831,-4.268193
2023-08-30,-4.378410,-4.366176
2023-08-31,-4.345766,-4.340471
2023-09-01,-4.425436,-4.364159
2023-09-05,-4.635597,-4.395031
2023-09-06,-4.216150,-4.458669
2023-09-07,-4.226512,-4.312779
2023-09-08,-4.538351,-4.260790
2023-09-11,-4.492047,-4.395839
2023-09-12,-4.516433,-4.421462
2023-09-13,-4.073800,-4.400084
2023-09-14,-4.249012,-4.331182
2023-09-15,-4.342078,-4.348986
2023-09-18,-4.569406,-4.251980
2023-09-19,-4.540683,-4.386338
2023-09-20,-4.417475,-4.436004
2023-09-21,-4.249316,-4.373437
2023-09-22,-4.167776,-4.236506
2023-09-25,-4.164668,-4.212738
2023-09-26,-4.163331,-4.190858
2023-09-27,-3.966989,-4.060483
2023-09-28,-4.075102,-4.052718
2023-09-29,-4.288243,-4.054937
2023-10-02,-3.943977,-4.111888
2023-10-03,-4.162514,-4.064149
2023-10-04,-4.020864,-3.997823
2023-10-05,-4.318205,-4.066505
2023-10-06,-4.317263,-4.092901
2023-10-09,-4.187907,-4.226568
2023-10-10,-4.499405,-4.185652
2023-10-11,-4.442461,-4.296364
2023-10-12,-4.105995,-4.367429
2023-10-13,-4.193949,-4.208202
2023-10-16,-4.402850,-4.133531
2023-10-17,-4.236225,-4.267971
2023-10-18,-4.311626,-4.182246
2023-10-19,-3.805716,-4.122791
2023-10-20,-3.987051,-3.963535
2023-10-23,-4.120881,-3.911765
2023-10-24,-4.128972,-3.975793
2023-10-25,-4.095135,-4.069614
2023-10-26,-3.710548,-3.970516
2023-10-27,-3.814550,-3.886723
2023-10-30,-3.849196,-3.865276
2023-10-31,-4.327212,-3.906183
2023-11-01,-4.105115,-4.045260
2023-11-02,-4.269474,-4.116415
2023-11-03,-4.559146,-4.209295
2023-11-06,-4.317795,-4.331228
2023-11-07,-4.330180,-4.321450
2023-11-08,-4.591964,-4.328461
2023-11-09,-4.441652,-4.424477
2023-11-10,-4.506014,-4.363168
2023-11-13,-4.677100,-4.493767
2023-11-14,-4.351803,-4.490232
2023-11-15,-4.195639,-4.496069
2023-11-16,-4.243391,-4.351237
2023-11-17,-4.498041,-4.305702
2023-11-20,-4.848223,-4.357918
2023-11-21,-4.545665,-4.560396
2023-11-22,-4.609390,-4.546240
2023-11-24,-4.906919,-4.560168
2023-11-27,-4.649866,-4.674055
2023-11-28,-4.554459,-4.650036
2023-11-29,-4.527476,-4.596304
2023-11-30,-4.178366,-4.580206
2023-12-01,-4.621653,-4.460017
2023-12-04,-4.383217,-4.505304
2023-12-05,-3.977139,-4.454254
2023-12-06,-4.471092,-4.296892
2023-12-07,-4.448265,-4.354723
2023-12-08,-4.426105,-4.449012
2023-12-11,-4.521921,-4.456658
2023-12-12,-4.631617,-4.507028
2023-12-13,-4.299291,-4.580070
2023-12-14,-4.163908,-4.527215
2023-12-15,-4.419504,-4.371874
2023-12-18,-4.648128,-4.437647
2023-12-19,-4.714779,-4.530042
2023-12-20,-4.453922,-4.608178
2023-12-21,-4.496509,-4.495433
2023-12-22,-5.116287,-4.559978
2023-12-26,-5.429225,-4.721836
2023-12-27,-5.041131,-4.877512
2023-12-28,-5.279516,-4.876355
2023-12-29,-4.755399,-4.911788
2024-01-02,-4.338533,-4.870464
2024-01-03,-4.354323,-4.652243
2024-01-04,-4.286929,-4.478232
2024-01-05,-4.537344,-4.387047
2024-01-08,-4.558145,-4.446864
2024-01-09,-4.558313,-4.563980
2024-01-10,-4.585607,-4.543221
2024-01-11,-4.161725,-4.590475
2024-01-12,-4.418764,-4.449658
2024-01-16,-4.318495,-4.433044
2024-01-17,-4.639846,-4.399633
2024-01-18,-4.538115,-4.423217
2024-01-19,-4.699210,-4.543960
2024-01-22,-4.568307,-4.625257
2024-01-23,-4.797134,-4.607154
2024-01-24,-4.454843,-4.676719
2024-01-25,-4.434495,-4.596791
2024-01-26,-4.707534,-4.562343
2024-01-29,-4.889168,-4.593186
2024-01-30,-4.490004,-4.712150
2024-01-31,-4.235205,-4.622484
2024-02-01,-4.146501,-4.413074
2024-02-02,-3.935802,-4.433754
2024-02-05,-4.582950,-4.291793
2024-02-06,-4.624649,-4.342487
2024-02-07,-4.573121,-4.500324
2024-02-08,-4.664861,-4.556890
2024-02-09,-4.686043,-4.601384
2024-02-12,-4.607011,-4.658267
2024-02-13,-3.965830,-4.604443
2024-02-14,-4.400260,-4.314219
2024-02-15,-4.380964,-4.399902
2024-02-16,-4.401627,-4.406017
2024-02-20,-4.414795,-4.373219
2024-02-21,-4.550311,-4.352722
2024-02-22,-4.308932,-4.436927
2024-02-23,-4.369669,-4.496854
2024-02-26,-4.902565,-4.424148
2024-02-27,-4.986557,-4.549362
2024-02-28,-4.872557,-4.686655
2024-02-29,-4.501503,-4.702137
2024-03-01,-4.839406,-4.696628
2024-03-04,-4.738318,-4.718551
2024-03-05,-4.819620,-4.693549
2024-03-06,-4.356738,-4.668864
2024-03-07,-4.575285,-4.628771
2024-03-08,-4.312573,-4.608900
2024-03-11,-4.576984,-4.466634
2024-03-12,-4.416195,-4.495345
2024-03-13,-4.772890,-4.558357
2024-03-14,-4.212693,-4.557740
2024-03-15,-4.363801,-4.471032
2024-03-18,-4.602172,-4.392172
2024-03-19,-4.767350,-4.511202
2024-03-20,-4.541853,-4.595537
2024-03-21,-4.732989,-4.612488
2024-03-22,-4.745011,-4.651347
2024-03-25,-4.635954,-4.651594
2024-03-26,-4.755563,-4.625243
2024-03-27,-4.817043,-4.662901
2024-03-28,-4.684917,-4.741091
2024-04-01,-4.450553,-4.690432
2024-04-02,-4.865445,-4.618613
2024-04-03,-4.568944,-4.613276
2024-04-04,-4.501644,-4.614199
2024-04-05,-4.283385,-4.480566
2024-04-08,-4.833540,-4.514666
2024-04-09,-4.417683,-4.539421
2024-04-10,-4.312792,-4.524971
2024-04-11,-4.633031,-4.404029
2024-04-12,-4.606511,-4.522824
2024-04-15,-4.325816,-4.418408
2024-04-16,-4.291482,-4.308754
2024-04-17,-4.364176,-4.323577
2024-04-18,-4.317021,-4.274233
2024-04-19,-4.136329,-4.281736
2024-04-22,-4.461535,-4.178539
2024-04-23,-4.449049,-4.327581
2024-04-24,-4.395710,-4.391267
2024-04-25,-3.977044,-4.341936
2024-04-26,-4.370219,-4.201682
2024-04-29,-4.132568,-4.316853
2024-04-30,-3.870681,-4.236080
2024-05-01,-3.530220,-4.053325
2024-05-02,-3.983285,-3.947431
2024-05-03,-4.446041,-4.008038
2024-05-06,-4.814161,-4.197968
2024-05-07,-4.744967,-4.431253
2024-05-08,-4.908917,-4.521188
2024-05-09,-4.489622,-4.614664
2024-05-10,-4.778514,-4.622762
2024-05-13,-4.880576,-4.655665
2024-05-14,-4.653070,-4.701005
2024-05-15,-4.048862,-4.689396
2024-05-16,-4.433769,-4.551355
2024-05-17,-4.823446,-4.483063
2024-05-20,-4.916274,-4.602698
2024-05-21,-4.517305,-4.683630
2024-05-22,-4.641670,-4.667973
2024-05-23,-4.434859,-4.634643
2024-05-24,-4.797737,-4.545343
2024-05-28,-4.442723,-4.640045
2024-05-29,-4.687915,-4.602074
2024-05-30,-4.762179,-4.553540
2024-05-31,-4.331854,-4.586108
2024-06-03,-4.354182,-4.592690
2024-06-04,-4.361884,-4.495367
2024-06-05,-4.620056,-4.488040
2024-06-06,-4.670630,-4.564314
2024-06-07,-4.508630,-4.583329
2024-06-10,-4.686821,-4.580683
2024-06-11,-4.463332,-4.597166
2024-06-12,-4.296914,-4.581641
2024-06-13,-4.383769,-4.544470
2024-06-14,-4.762449,-4.534945
2024-06-17,-4.494514,-4.581993
2024-06-18,-4.500619,-4.588259
2024-06-20,-4.241385,-4.564719
2024-06-21,-4.337251,-4.466472
2024-06-24,-4.152931,-4.423949
2024-06-25,-4.577177,-4.346882
2024-06-26,-4.094244,-4.467678
2024-06-27,-4.077474,-4.391202
2024-06-28,-4.076915,-4.262039
2024-07-01,-4.100138,-4.205496
2024-07-02,-4.399346,-4.207080
2024-07-03,-4.651203,-4.303875
2024-07-05,-4.714051,-4.445221
2024-07-08,-4.569139,-4.537614
2024-07-09,-4.887306,-4.565569
2024-07-10,-4.726445,-4.653903
2024-07-11,-4.018246,-4.706643
2024-07-12,-4.485268,-4.424573
2024-07-15,-4.193595,-4.493702
2024-07-16,-4.195503,-4.410259
2024-07-17,-4.226107,-4.330446
2024-07-18,-3.821019,-4.206553
2024-07-19,-4.189312,-4.087959
2024-07-22,-4.386696,-4.077088
2024-07-23,-4.091091,-4.275923
2024-07-24,-4.333481,-4.188435
2024-07-25,-3.940615,-4.094839
2024-07-26,-4.117912,-4.085516
2024-07-29,-4.496263,-4.147611
2024-07-30,-4.157181,-4.249171
2024-07-31,-4.035589,-4.189204
2024-08-01,-3.976698,-4.103579
2024-08-02,-3.355740,-4.032685
2024-08-05,-3.280448,-3.725136
2024-08-06,-3.834624,-3.586376
2024-08-07,-3.994995,-3.750661
2024-08-08,-4.095015,-3.794912
2024-08-09,-4.142411,-3.931691
2024-08-12,-4.129904,-4.038391
2024-08-13,-4.356949,-4.075213
2024-08-14,-4.297386,-4.225507
2024-08-15,-4.249469,-4.294642
2024-08-16,-4.817848,-4.322813
2024-08-19,-4.488307,-4.518497
2024-08-20,-4.576123,-4.554769
