date,actual,lstar
2024-04-10,-4.513834,-4.572713
2024-04-11,-4.572116,-4.548237
2024-04-12,-3.935005,-4.578042
2024-04-15,-4.197342,-4.046660
2024-04-16,-4.193759,-4.284080
2024-04-17,-4.517758,-4.280837
2024-04-18,-4.459313,-4.548284
2024-04-19,-4.555872,-4.521104
2024-04-22,-4.796920,-4.567230
2024-04-23,-4.928366,-4.728974
2024-04-24,-4.790930,-4.817237
2024-04-25,-4.753699,-4.723072
2024-04-26,-4.928586,-4.698155
2024-04-29,-4.984686,-4.815197
2024-04-30,-4.785194,-4.852742
2024-05-01,-4.410231,-4.719233
2024-05-02,-4.684955,-4.476767
2024-05-03,-4.801033,-4.652149
2024-05-06,-4.973595,-4.729833
2024-05-07,-5.207181,-4.845320
2024-05-08,-4.818302,-5.001646
2024-05-09,-5.135455,-4.741391
2024-05-10,-5.149480,-4.953644
2024-05-13,-5.119162,-4.963030
2024-05-14,-4.961963,-4.942740
2024-05-15,-4.995034,-4.837535
2024-05-16,-4.751100,-4.859668
2024-05-17,-5.090873,-4.696416
2024-05-20,-4.080429,-4.923807
2024-05-21,-4.768692,-4.178582
2024-05-22,-4.642435,-4.708189
2024-05-23,-4.704313,-4.623693
2024-05-24,-5.108312,-4.665104
2024-05-28,-5.149632,-4.936857
2024-05-29,-4.963082,-4.964625
2024-05-30,-4.811179,-4.839259
2024-05-31,-4.686791,-4.737176
2024-06-03,-4.598661,-4.653585
2024-06-04,-4.673968,-4.594360
2024-06-05,-4.861426,-4.644968
2024-06-06,-4.957494,-4.770944
2024-06-07,-4.743396,-4.835504
2024-06-10,-4.818974,-4.691625
2024-06-11,-4.855986,-4.742415
2024-06-12,-4.537368,-4.767288
2024-06-13,-4.752283,-4.554161
2024-06-14,-4.724148,-4.697597
2024-06-17,-4.670858,-4.678689
2024-06-18,-4.665990,-4.642878
2024-06-20,-4.672201,-4.639606
2024-06-21,-4.592666,-4.643780
2024-06-24,-4.792138,-4.590332
2024-06-25,-4.791513,-4.724381
2024-06-26,-5.019108,-4.723960
2024-06-27,-4.960773,-4.876910
2024-06-28,-4.686139,-4.841374
2024-07-01,-4.491673,-4.662684
2024-07-02,-5.011258,-4.524315
2024-07-03,-4.831652,-4.872938
2024-07-05,-4.950813,-4.759226
2024-07-08,-5.098049,-4.835120
2024-07-09,-4.680224,-4.926874
2024-07-10,-4.674750,-4.658645
2024-07-11,-4.754941,-4.654898
2024-07-12,-4.020219,-4.708971
2024-07-15,-4.035649,-4.138505
2024-07-16,-4.361882,-4.152149
2024-07-17,-4.362528,-4.425088
2024-07-18,-4.064161,-4.425595
2024-07-19,-4.470426,-4.177205
2024-07-22,-4.572289,-4.508457
2024-07-23,-4.626391,-4.583124
2024-07-24,-4.484427,-4.621420
2024-07-25,-4.573106,-4.518924
2024-07-26,-4.497897,-4.583709
2024-07-29,-4.721461,-4.528931
2024-07-30,-4.500850,-4.686603
2024-07-31,-4.319093,-4.555247
2024-08-01,-4.389010,-4.399978
2024-08-02,-3.976956,-4.464086
2024-08-05,-4.053774,-4.086266
2024-08-06,-4.207522,-4.156702
2024-08-07,-4.273267,-4.297676
2024-08-08,-4.415950,-4.357959
2024-08-09,-4.457404,-4.488788
2024-08-12,-4.500076,-4.526737
2024-08-13,-4.835236,-4.555295
2024-08-14,-4.772004,-4.755317
2024-08-15,-4.617197,-4.713207
2024-08-16,-4.895114,-4.610111
2024-08-19,-5.071132,-4.795193
2024-08-20,-5.061032,-4.912414
2024-08-21,-4.643730,-4.905688
2024-08-22,-4.804614,-4.627781
2024-08-23,-4.483001,-4.734923
2024-08-26,-4.813166,-4.548638
2024-08-27,-5.050936,-4.740619
2024-08-28,-4.681432,-4.898965
2024-08-29,-4.647457,-4.652889
2024-08-30,-4.639025,-4.631144
2024-09-03,-4.493197,-4.625552
2024-09-04,-4.758175,-4.553761
2024-09-05,-4.469980,-4.704572
2024-09-06,-4.349102,-4.537237
2024-09-09,-4.492814,-4.426545
2024-09-10,-3.399971,-4.553617
2024-09-11,-4.274931,-3.555068
2024-09-12,-4.197000,-4.358442
2024-09-13,-4.435237,-4.286888
2024-09-16,-4.701954,-4.505630
2024-09-17,-4.602726,-4.667286
2024-09-18,-4.114401,-4.601478
2024-09-19,-4.389086,-4.211047
2024-09-20,-4.610500,-4.463258
2024-09-23,-4.899276,-4.606634
2024-09-24,-4.635163,-4.798151
2024-09-25,-4.807889,-4.622990
2024-09-26,-4.421145,-4.737543
2024-09-27,-4.738818,-4.492694
2024-09-30,-4.438618,-4.691735
2024-10-01,-4.485701,-4.508733
2024-10-02,-4.480460,-4.516153
2024-10-03,-4.700809,-4.512240
2024-10-04,-4.610741,-4.670994
2024-10-07,-4.768206,-4.607499
2024-10-08,-4.548775,-4.717325
2024-10-09,-4.744234,-4.562709
2024-10-10,-4.851152,-4.700957
2024-10-11,-4.109097,-4.773060
2024-10-14,-4.681571,-4.217253
2024-10-15,-4.498575,-4.657587
2024-10-16,-4.668120,-4.525736
2024-10-17,-4.631986,-4.648164
2024-10-18,-4.961333,-4.622645
2024-10-21,-4.862037,-4.845132
2024-10-22,-4.282023,-4.780275
2024-10-23,-4.836456,-4.358962
2024-10-24,-4.725140,-4.763283
2024-10-25,-4.758830,-4.687833
2024-10-28,-4.910144,-4.710938
2024-10-29,-4.824377,-4.811908
2024-10-30,-4.687783,-4.755217
2024-10-31,-4.625890,-4.661925
2024-11-01,-4.596409,-4.618747
2024-11-04,-4.593006,-4.597750
2024-11-05,-4.839021,-4.595312
2024-11-06,-3.962682,-4.764482
2024-11-07,-4.222000,-4.091865
2024-11-08,-4.287819,-4.311359
2024-11-11,-4.907193,-4.364387
2024-11-12,-5.036699,-4.809108
2024-11-13,-4.659824,-4.891839
2024-11-14,-4.474837,-4.642650
2024-11-15,-4.496050,-4.508812
2024-11-18,-4.584151,-4.524608
2024-11-19,-4.778107,-4.588955
2024-11-20,-4.534929,-4.723852
2024-11-21,-4.708669,-4.553252
2024-11-22,-4.627794,-4.676570
2024-11-25,-4.698874,-4.620095
2024-11-26,-4.823013,-4.669813
2024-11-27,-5.045163,-4.753877
2024-11-29,-4.982503,-4.897170
2024-12-02,-4.438670,-4.857503
2024-12-03,-4.859312,-4.481607
2024-12-04,-4.725366,-4.774787
2024-12-05,-4.689323,-4.686250
2024-12-06,-4.763271,-4.661775
2024-12-09,-4.719166,-4.711673
2024-12-10,-3.974558,-4.682062
2024-12-11,-4.784206,-4.103147
2024-12-12,-4.651113,-4.725583
2024-12-13,-4.477499,-4.635489
2024-12-16,-4.667321,-4.511222
2024-12-17,-4.897624,-4.646683
2024-12-18,-4.139850,-4.799511
2024-12-19,-4.288722,-4.244946
2024-12-20,-4.153155,-4.366387
2024-12-23,-4.615631,-4.256049
2024-12-24,-5.095889,-4.610751
2024-12-26,-5.068013,-4.924728
2024-12-27,-4.634088,-4.907305
2024-12-30,-4.638582,-4.623659
2024-12-31,-5.095960,-4.626789
