date,actual,arfimax
2023-10-11,-4.442461,-4.212835
2023-10-12,-4.105995,-4.240164
2023-10-13,-4.193949,-4.066310
2023-10-16,-4.402850,-3.980216
2023-10-17,-4.236225,-4.187963
2023-10-18,-4.311626,-4.016687
2023-10-19,-3.805716,-3.986667
2023-10-20,-3.987051,-3.698297
2023-10-23,-4.120881,-3.830206
2023-10-24,-4.128972,-3.915510
2023-10-25,-4.095135,-4.015804
2023-10-26,-3.710548,-3.852932
2023-10-27,-3.814550,-3.769525
2023-10-30,-3.849196,-3.807792
2023-10-31,-4.327212,-3.890038
2023-11-01,-4.105115,-4.122215
2023-11-02,-4.269474,-4.084837
2023-11-03,-4.559146,-4.229599
2023-11-06,-4.317795,-4.327776
2023-11-07,-4.330180,-4.224767
2023-11-08,-4.591964,-4.283931
2023-11-09,-4.441652,-4.387233
2023-11-10,-4.506014,-4.222436
2023-11-13,-4.677100,-4.398322
2023-11-14,-4.351803,-4.325113
2023-11-15,-4.195639,-4.325772
2023-11-16,-4.243391,-4.261660
2023-11-17,-4.498041,-4.289507
2023-11-20,-4.848223,-4.391238
2023-11-21,-4.545665,-4.519059
2023-11-22,-4.609390,-4.393105
2023-11-24,-4.906919,-4.487334
2023-11-27,-4.649866,-4.573673
2023-11-28,-4.554459,-4.479976
2023-11-29,-4.527476,-4.488700
2023-11-30,-4.178366,-4.464014
2023-12-01,-4.621653,-4.369687
2023-12-04,-4.383217,-4.559603
2023-12-05,-3.977139,-4.379540
2023-12-06,-4.471092,-4.337940
2023-12-07,-4.448265,-4.489914
2023-12-08,-4.426105,-4.423474
2023-12-11,-4.521921,-4.489930
2023-12-12,-4.631617,-4.468993
2023-12-13,-4.299291,-4.557209
2023-12-14,-4.163908,-4.441453
2023-12-15,-4.419504,-4.409825
2023-12-18,-4.648128,-4.533812
2023-12-19,-4.714779,-4.533083
2023-12-20,-4.453922,-4.554661
2023-12-21,-4.496509,-4.380983
2023-12-22,-5.116287,-4.455980
2023-12-26,-5.429225,-4.678298
2023-12-27,-5.041131,-4.755200
2023-12-28,-5.279516,-4.703148
2023-12-29,-4.755399,-4.801682
2024-01-02,-4.338533,-4.613714
2024-01-03,-4.354323,-4.439839
2024-01-04,-4.286929,-4.397753
2024-01-05,-4.537344,-4.351955
2024-01-08,-4.558145,-4.500985
2024-01-09,-4.558313,-4.524882
2024-01-10,-4.585607,-4.536901
2024-01-11,-4.161725,-4.537311
2024-01-12,-4.418764,-4.424444
2024-01-16,-4.318495,-4.488784
2024-01-17,-4.639846,-4.346192
2024-01-18,-4.538115,-4.393954
2024-01-19,-4.699210,-4.431407
2024-01-22,-4.568307,-4.533042
2024-01-23,-4.797134,-4.485560
2024-01-24,-4.454843,-4.621485
2024-01-25,-4.434495,-4.411223
2024-01-26,-4.707534,-4.446163
2024-01-29,-4.889168,-4.518046
2024-01-30,-4.490004,-4.571149
2024-01-31,-4.235205,-4.453093
2024-02-01,-4.146501,-4.298990
2024-02-02,-3.935802,-4.393130
2024-02-05,-4.582950,-4.273178
2024-02-06,-4.624649,-4.445378
2024-02-07,-4.573121,-4.503143
2024-02-08,-4.664861,-4.510607
2024-02-09,-4.686043,-4.523277
2024-02-12,-4.607011,-4.521137
2024-02-13,-3.965830,-4.416555
2024-02-14,-4.400260,-4.072421
2024-02-15,-4.380964,-4.397905
2024-02-16,-4.401627,-4.348005
2024-02-20,-4.414795,-4.336611
2024-02-21,-4.550311,-4.257081
2024-02-22,-4.308932,-4.344105
2024-02-23,-4.369669,-4.337465
2024-02-26,-4.902565,-4.388902
2024-02-27,-4.986557,-4.533551
2024-02-28,-4.872557,-4.579460
2024-02-29,-4.501503,-4.522039
2024-03-01,-4.839406,-4.473075
2024-03-04,-4.738318,-4.607281
2024-03-05,-4.819620,-4.511111
2024-03-06,-4.356738,-4.488475
2024-03-07,-4.575285,-4.376072
2024-03-08,-4.312573,-4.472845
2024-03-11,-4.576984,-4.329125
2024-03-12,-4.416195,-4.418423
2024-03-13,-4.772890,-4.460845
2024-03-14,-4.212693,-4.529859
2024-03-15,-4.363801,-4.292599
2024-03-18,-4.602172,-4.358702
2024-03-19,-4.767350,-4.450263
2024-03-20,-4.541853,-4.539467
2024-03-21,-4.732989,-4.511824
2024-03-22,-4.745011,-4.598104
2024-03-25,-4.635954,-4.574779
2024-03-26,-4.755563,-4.513533
2024-03-27,-4.817043,-4.575014
2024-03-28,-4.684917,-4.653020
2024-04-01,-4.450553,-4.557997
2024-04-02,-4.865445,-4.432583
2024-04-03,-4.568944,-4.486943
2024-04-04,-4.501644,-4.429204
2024-04-05,-4.283385,-4.276082
2024-04-08,-4.833540,-4.298259
2024-04-09,-4.417683,-4.488784
2024-04-10,-4.312792,-4.356873
2024-04-11,-4.633031,-4.260372
2024-04-12,-4.606511,-4.442187
2024-04-15,-4.325816,-4.236710
2024-04-16,-4.291482,-4.062363
2024-04-17,-4.364176,-4.157433
2024-04-18,-4.317021,-4.168783
2024-04-19,-4.136329,-4.180972
2024-04-22,-4.461535,-4.065920
2024-04-23,-4.449049,-4.328962
2024-04-24,-4.395710,-4.344408
2024-04-25,-3.977044,-4.288111
2024-04-26,-4.370219,-4.170106
2024-04-29,-4.132568,-4.377871
2024-04-30,-3.870681,-4.248635
2024-05-01,-3.530220,-4.098124
2024-05-02,-3.983285,-4.024292
2024-05-03,-4.446041,-4.245322
2024-05-06,-4.814161,-4.456603
2024-05-07,-4.744967,-4.542241
2024-05-08,-4.908917,-4.543290
2024-05-09,-4.489622,-4.618173
2024-05-10,-4.778514,-4.505206
2024-05-13,-4.880576,-4.621395
2024-05-14,-4.653070,-4.558050
2024-05-15,-4.048862,-4.551284
2024-05-16,-4.433769,-4.441390
2024-05-17,-4.823446,-4.531464
2024-05-20,-4.916274,-4.677915
2024-05-21,-4.517305,-4.688781
2024-05-22,-4.641670,-4.612512
2024-05-23,-4.434859,-4.598319
2024-05-24,-4.797737,-4.486222
2024-05-28,-4.442723,-4.700297
2024-05-29,-4.687915,-4.466346
2024-05-30,-4.762179,-4.456512
2024-05-31,-4.331854,-4.508828
2024-06-03,-4.354182,-4.548190
2024-06-04,-4.361884,-4.472721
2024-06-05,-4.620056,-4.486396
2024-06-06,-4.670630,-4.626692
2024-06-07,-4.508630,-4.606586
2024-06-10,-4.686821,-4.594191
2024-06-11,-4.463332,-4.580276
2024-06-12,-4.296914,-4.528944
2024-06-13,-4.383769,-4.545664
2024-06-14,-4.762449,-4.572455
2024-06-17,-4.494514,-4.609190
2024-06-18,-4.500619,-4.529023
2024-06-20,-4.241385,-4.577838
2024-06-21,-4.337251,-4.391683
2024-06-24,-4.152931,-4.437601
2024-06-25,-4.577177,-4.346427
2024-06-26,-4.094244,-4.548776
2024-06-27,-4.077474,-4.394124
2024-06-28,-4.076915,-4.382304
