date,actual,arfimax
2023-08-07,-4.950713,-4.671282
2023-08-08,-4.483647,-4.821977
2023-08-09,-4.775107,-4.671243
2023-08-10,-4.742257,-4.738178
2023-08-11,-4.966407,-4.722752
2023-08-14,-5.043877,-4.855086
2023-08-15,-4.649863,-4.868398
2023-08-16,-4.824596,-4.639544
2023-08-17,-4.633602,-4.684377
2023-08-18,-4.732842,-4.570676
2023-08-21,-4.817127,-4.653640
2023-08-22,-4.645823,-4.675382
2023-08-23,-4.813068,-4.648300
2023-08-24,-4.585962,-4.767962
2023-08-25,-4.489311,-4.612257
2023-08-28,-4.939350,-4.690226
2023-08-29,-4.898524,-4.821259
2023-08-30,-4.863022,-4.849111
2023-08-31,-4.942042,-4.867912
2023-09-01,-4.984647,-4.915475
2023-09-05,-4.542175,-4.934374
2023-09-06,-4.950109,-4.745971
2023-09-07,-5.043717,-4.816372
2023-09-08,-5.061355,-4.865098
2023-09-11,-4.855879,-4.922287
2023-09-12,-4.733636,-4.856022
2023-09-13,-4.763624,-4.802422
2023-09-14,-4.730257,-4.869880
2023-09-15,-4.839644,-4.885584
2023-09-18,-5.119803,-4.805198
2023-09-19,-4.961515,-4.888676
2023-09-20,-4.773701,-4.846605
2023-09-21,-4.513244,-4.730050
2023-09-22,-4.550704,-4.497060
2023-09-25,-4.597827,-4.593102
2023-09-26,-4.671582,-4.586937
2023-09-27,-4.524136,-4.478183
2023-09-28,-4.571494,-4.516586
2023-09-29,-4.640681,-4.573778
2023-10-02,-4.545035,-4.562934
2023-10-03,-4.624396,-4.538430
2023-10-04,-4.663163,-4.414696
2023-10-05,-4.407676,-4.534015
2023-10-06,-4.437592,-4.447545
2023-10-09,-4.726368,-4.519767
2023-10-10,-4.716536,-4.565008
2023-10-11,-4.673473,-4.624625
2023-10-12,-4.642399,-4.680765
2023-10-13,-3.716556,-4.608318
2023-10-16,-4.331904,-4.225962
2023-10-17,-4.500339,-4.517205
2023-10-18,-4.416535,-4.470809
2023-10-19,-4.342321,-4.384928
2023-10-20,-4.303984,-4.287145
2023-10-23,-4.556210,-4.289104
2023-10-24,-4.745828,-4.427110
2023-10-25,-4.878774,-4.550352
2023-10-26,-4.529273,-4.496720
2023-10-27,-4.368143,-4.421719
2023-10-30,-4.582109,-4.365394
2023-10-31,-4.783922,-4.496838
2023-11-01,-4.570422,-4.628810
2023-11-02,-4.616792,-4.636533
2023-11-03,-4.693017,-4.708016
2023-11-06,-4.864376,-4.752436
2023-11-07,-5.031573,-4.782014
2023-11-08,-4.763367,-4.843419
2023-11-09,-4.702770,-4.805981
2023-11-10,-5.047102,-4.703487
2023-11-13,-4.945960,-4.888357
2023-11-14,-4.738962,-4.799363
2023-11-15,-4.898074,-4.817928
2023-11-16,-4.879413,-4.836670
2023-11-17,-5.077389,-4.820905
2023-11-20,-4.895341,-4.918011
2023-11-21,-5.024264,-4.905728
2023-11-22,-5.202669,-4.925466
2023-11-24,-5.558822,-5.012592
2023-11-27,-5.261510,-5.128383
2023-11-28,-5.100163,-5.036886
2023-11-29,-4.856438,-5.018885
2023-11-30,-4.956418,-4.926290
2023-12-01,-4.928064,-4.954195
2023-12-04,-4.766515,-4.964688
2023-12-05,-4.809864,-4.866902
2023-12-06,-4.884886,-4.907791
2023-12-07,-4.958998,-4.906199
2023-12-08,-5.039291,-4.909346
2023-12-11,-5.099700,-4.993031
2023-12-12,-4.976084,-4.972919
2023-12-13,-4.812809,-4.987999
2023-12-14,-4.503892,-4.937722
2023-12-15,-4.608864,-4.852396
2023-12-18,-4.928934,-4.901254
2023-12-19,-5.027016,-4.938724
2023-12-20,-4.769325,-4.963606
2023-12-21,-4.931621,-4.822001
2023-12-22,-5.251427,-4.886624
2023-12-26,-5.530211,-5.017450
2023-12-27,-5.332298,-5.094792
2023-12-28,-5.370128,-5.097666
2023-12-29,-5.685389,-5.102311
2024-01-02,-5.014219,-5.185253
2024-01-03,-4.862742,-4.944700
2024-01-04,-5.038724,-4.875665
2024-01-05,-4.854554,-4.907734
2024-01-08,-4.666176,-4.907842
2024-01-09,-5.121918,-4.878347
2024-01-10,-4.987074,-5.022715
2024-01-11,-4.847276,-4.959341
2024-01-12,-4.089543,-4.959979
2024-01-16,-4.380017,-4.719872
2024-01-17,-4.678233,-4.713201
2024-01-18,-4.846248,-4.715830
2024-01-19,-4.942414,-4.827202
2024-01-22,-4.964053,-4.901007
2024-01-23,-5.119310,-4.910994
2024-01-24,-5.000860,-5.004743
2024-01-25,-5.025508,-4.891974
2024-01-26,-5.304895,-4.915778
2024-01-29,-5.125683,-5.005387
2024-01-30,-4.870328,-4.934266
