date,actual,rw,ar,har,arfima,fnn,lstm,nar
2022-11-28,-4.854696,-5.313926,-5.086899,-5.014611,-4.954608,-5.004589,-5.013474,-4.982929
2022-11-29,-4.918174,-4.854696,-4.922021,-4.828425,-4.767460,-4.918790,-4.914053,-4.915709
2022-11-30,-4.215704,-4.918174,-4.903180,-4.863934,-4.792112,-4.915935,-4.883040,-4.884099
2022-12-01,-4.369818,-4.215704,-4.546844,-4.491435,-4.441503,-4.543283,-4.534625,-4.581522
2022-12-02,-4.580299,-4.369818,-4.457914,-4.522786,-4.454050,-4.440014,-4.433222,-4.460865
2022-12-05,-4.513352,-4.580299,-4.539501,-4.573724,-4.538308,-4.461205,-4.503142,-4.587798
2022-12-06,-4.132873,-4.513352,-4.487954,-4.526220,-4.512904,-4.523047,-4.544763,-4.550407
2022-12-07,-4.330270,-4.132873,-4.313583,-4.302931,-4.315791,-4.333821,-4.354025,-4.331456
2022-12-08,-4.604509,-4.330270,-4.361821,-4.400629,-4.369566,-4.305581,-4.336588,-4.312798
2022-12-09,-4.864856,-4.604509,-4.498154,-4.540716,-4.506513,-4.444802,-4.494512,-4.467949
2022-12-12,-4.673712,-4.864856,-4.662434,-4.681553,-4.666723,-4.703865,-4.719171,-4.682430
2022-12-13,-4.120020,-4.673712,-4.652395,-4.606385,-4.612777,-4.731506,-4.717597,-4.670361
2022-12-14,-4.088423,-4.120020,-4.381649,-4.349542,-4.332490,-4.433431,-4.426551,-4.342826
2022-12-15,-4.296929,-4.088423,-4.275414,-4.317465,-4.254796,-4.207467,-4.223844,-4.213061
2022-12-16,-4.469618,-4.296929,-4.311355,-4.391878,-4.326405,-4.200533,-4.248920,-4.285868
2022-12-19,-4.359864,-4.469618,-4.381702,-4.448072,-4.417644,-4.348621,-4.406302,-4.400434
2022-12-20,-4.586896,-4.359864,-4.369486,-4.376212,-4.380599,-4.383672,-4.424990,-4.390367
2022-12-21,-4.720639,-4.586896,-4.503877,-4.510105,-4.491838,-4.515797,-4.533981,-4.473328
2022-12-22,-4.630609,-4.720639,-4.620366,-4.612889,-4.584103,-4.636159,-4.649136,-4.577998
2022-12-23,-4.499237,-4.630609,-4.606226,-4.590565,-4.566112,-4.671325,-4.662097,-4.590170
2022-12-27,-4.754422,-4.499237,-4.555814,-4.528395,-4.504546,-4.600770,-4.589636,-4.537153
2022-12-28,-4.661084,-4.754422,-4.669709,-4.669582,-4.624154,-4.680089,-4.671771,-4.647068
2022-12-29,-4.997603,-4.661084,-4.646118,-4.626545,-4.602263,-4.679960,-4.675823,-4.654418
2022-12-30,-4.578950,-4.997603,-4.813999,-4.801072,-4.777694,-4.847038,-4.799727,-4.820130
2023-01-03,-4.212465,-4.578950,-4.672546,-4.602330,-4.605610,-4.714635,-4.663287,-4.706330
2023-01-04,-4.432430,-4.212465,-4.429047,-4.414355,-4.393414,-4.469593,-4.436696,-4.414657
2023-01-05,-4.561595,-4.432430,-4.475217,-4.496188,-4.453628,-4.413010,-4.432821,-4.455081
